,摄入卡路里,消耗卡路里,运动时间
2018-01-01,669.5304987391927,1404.301792545161,147.45593348519122
2018-01-02,607.3439578823248,1289.9972486278002,168.16683964948885
2018-01-03,814.5216763292271,1213.0220585012526,259.2672913736788
2018-01-04,652.4944914112234,1321.446265257017,135.5787191921264
2018-01-05,607.8805150161421,1359.6478463397245,256.2489392543397
2018-01-06,585.4348387930216,1188.757232647573,178.70614048352166
2018-01-07,632.0387075219311,1358.2653654572355,157.64134050019172
2018-01-08,677.1228620657846,1337.6456797831802,211.7783112340995
2018-01-09,635.5638638904919,1305.0840580372344,222.783771916491
2018-01-10,613.3317067816271,1335.9113285957617,173.77247705702598
2018-01-11,552.3794797255628,1387.4430764884075,178.70965379951073
2018-01-12,701.1110805662196,1264.5591880934137,210.5196018923486
2018-01-13,855.5829155590138,1196.5850120322898,238.99280453480299
2018-01-14,671.5349854953555,1389.274701156016,194.18568775683278
2018-01-15,625.7700917994492,1377.895686677862,242.1814207698201
2018-01-16,714.5647460441392,1219.82543766346,198.55378803609636
2018-01-17,501.8816928375539,1431.025062747608,225.6987464989103
2018-01-18,901.8343699954708,1270.2768676036933,157.14851952874056
2018-01-19,767.9094336298933,1313.6991714479295,135.99588268899714
2018-01-20,681.9536645299572,1329.5580844205356,218.15111763788798
2018-01-21,596.2191298144606,1397.1341460697815,134.70821047722603
2018-01-22,759.4538169024446,1101.5611018447262,322.52305207093667
2018-01-23,762.0184423041932,1167.8605477909916,190.56154739044024
2018-01-24,723.5887031586559,1369.1965669794608,283.6213603487302
2018-01-25,496.90118491398226,1270.8718899103544,239.99025092119314
2018-01-26,549.6509963510036,1100.1128385298148,130.11439550751857
2018-01-27,841.6653621844171,1506.7904565912158,161.15730122161153
2018-01-28,624.3351934006188,1187.3766665224693,134.02276150096992
2018-01-29,608.0393780963714,1354.458383230514,237.24952907053722
2018-01-30,660.5395276250289,1238.7965226059728,200.68976447134548
2018-01-31,781.7497231141715,1409.1790851368978,238.60475775624306
2018-02-01,729.4565191295433,1408.6910264298822,225.82324797597303
2018-02-02,623.5005681261362,1373.2454107311546,158.8433527018032
2018-02-03,942.8251915006924,1245.6945599229277,161.80621702539588
2018-02-04,929.4626803934857,1234.3883387854273,200.5056471471942
2018-02-05,644.9954011278722,1397.9551455136614,263.97553983878083
2018-02-06,551.3137588553626,1338.1502480341615,119.73581767674747
2018-02-07,879.2456350671961,1485.9203745290613,187.8628646374758
2018-02-08,764.6867275530444,1403.4410894654634,126.3087135966201
2018-02-09,711.4638875127777,1368.1489452740973,153.84287270712943
2018-02-10,623.5232052518642,1334.9210499922444,149.1625179017421
2018-02-11,884.294402199559,1244.1771865217572,154.98102219016428
2018-02-12,723.0771494305418,1180.0208265321655,198.288953891985
2018-02-13,702.8395215492878,1460.5784210337144,143.50660271047735
2018-02-14,729.0195606385785,1218.2254698677846,188.04872496639103
2018-02-15,765.6188753328883,1252.7333645296233,212.6449960425309
2018-02-16,685.418459024534,1346.657753023093,255.6662051003867
2018-02-17,704.2648892093329,1170.0903349813586,201.11141411035828
2018-02-18,754.4403678626205,1162.00880114582,138.1104421915683
2018-02-19,745.5788233629119,1273.9302009361786,169.7955385260838
2018-02-20,756.3718413411855,1252.5043924113636,146.93769038632428
2018-02-21,605.3532840926649,1254.9838589250396,202.16121293679578
2018-02-22,538.6863946547907,1429.6831852876087,237.11735567546862
2018-02-23,702.9761990783139,1376.7760606073543,261.9718761562142
2018-02-24,598.9777915932748,1185.3982641827347,220.70023663475894
2018-02-25,661.5428371955197,1391.0375383135856,211.0841628473222
2018-02-26,694.2779182056903,1288.7897411135227,290.285831436469
2018-02-27,630.444297444397,1383.3781294526798,241.08288132247463
2018-02-28,675.5668445422529,1477.0992392617231,201.78899849156207
2018-03-01,800.1981686471535,1216.5308687731153,112.25988567474649
2018-03-02,657.8865810816507,1263.3940750579009,132.76819489396667
2018-03-03,671.8503836253318,1330.267542688805,271.3391461596003
2018-03-04,576.935589750259,1256.3366911177445,251.0380321874337
2018-03-05,661.3100952280134,1142.0089597267556,236.03241901713406
2018-03-06,757.1509900060479,1293.8446648201684,220.61231458083404
2018-03-07,717.8325283143788,1248.700761527278,161.43383025053373
2018-03-08,729.9211097806385,1186.5988259968249,121.65635403635041
2018-03-09,687.9668417445287,1243.0527535785452,178.5960062679198
2018-03-10,845.7497025360891,1344.760923402797,184.48107248026747
2018-03-11,738.6401372330943,1277.209635607928,206.6075393814358
2018-03-12,631.1791163431913,1131.4213950993158,221.87284547078397
2018-03-13,750.5488560654572,1426.0141977692406,273.1898978918516
2018-03-14,766.8186728475663,1250.1347928443797,184.27013359232694
2018-03-15,574.4333256375505,1274.8066290609333,177.16486817253835
2018-03-16,725.4228269355001,1489.6771907601135,148.37784022512574
2018-03-17,724.8190309263881,1259.167265467782,160.31060874364627
2018-03-18,814.8273958336988,1453.7503631348518,146.18795718061398
2018-03-19,575.011744850275,1246.204947526782,253.8929197385237
2018-03-20,679.4302749896354,1400.165837146731,158.39469089154647
2018-03-21,725.5435761473489,1300.1057461013897,301.93389448798916
2018-03-22,686.6527759986477,1268.701422441039,205.91821599617407
2018-03-23,631.1523936217386,1304.4412630486127,151.59166914564594
2018-03-24,704.1080675015464,1439.5240584343994,211.01720650265534
2018-03-25,697.6373080001499,1261.156705719912,231.22956292438147
2018-03-26,603.3911050989097,1110.6504099256867,149.92662381087993
2018-03-27,766.199340462663,1257.5115618006225,128.80941653576193
2018-03-28,654.8045167708037,1389.2595238450763,141.06473082745734
2018-03-29,781.6253950646447,1269.81767321394,185.21486362242499
2018-03-30,554.4506285090449,1280.6807862227913,122.10091358860566
2018-03-31,752.8591733894164,1390.2209853338022,222.0539419452529
2018-04-01,724.9864262011423,1205.9177100880706,174.1874336730762
2018-04-02,580.2614248984189,1270.6255644316504,201.65414769789442
2018-04-03,665.8616086518854,1416.219145553332,99.64833334313997
2018-04-04,530.3499933319622,1426.518074093535,215.0524789560114
2018-04-05,640.0461816706108,1298.658296036142,190.6395497355611
2018-04-06,811.6958390272722,1355.0888548026846,174.88265838223936
2018-04-07,710.2572027443359,1282.270311121279,178.911512048138
2018-04-08,671.9533868458722,1287.0040866805589,188.94883334681458
2018-04-09,640.6286057638307,1357.7634214072198,217.71308283874401
2018-04-10,661.4306917204386,1284.5618896694189,199.217166332325
2018-04-11,828.0213931305581,1277.011508428263,214.11378572195062
2018-04-12,904.0968879465565,1342.661256202348,240.11251129678823
2018-04-13,806.1277731209115,1335.5403246329845,191.22798632748425
2018-04-14,583.4236006241833,1373.990063332573,260.30217409316447
2018-04-15,755.6856886888024,1139.7517522321386,192.94756580100918
2018-04-16,595.4848705009983,1189.9690927327351,114.1989367587661
2018-04-17,801.0016294278356,1228.5968185990398,258.82851631440076
2018-04-18,647.1192799810575,1344.204600331679,166.2747262309882
2018-04-19,706.545411429065,1361.0222113440154,259.82633202250344
2018-04-20,783.426480372384,1325.2198013039945,208.2581304933023
2018-04-21,844.6604194127502,1574.1701848031057,257.43826123644214
2018-04-22,711.011700950796,1199.5216620880055,261.061026635086
2018-04-23,563.89375431852,1219.2345963871278,220.32090388228133
2018-04-24,652.0851812764031,1395.8876383959177,238.24912570633754
2018-04-25,721.256598684858,1265.3449472795455,136.3000495302884
2018-04-26,584.9179879177221,1495.210379714381,202.4296388609476
2018-04-27,714.5512957287067,1121.891612525479,218.55962442788734
2018-04-28,760.6246438013616,1278.4270907851997,216.6280398968918
2018-04-29,604.0309032897333,1276.0019824472818,255.58061226143377
2018-04-30,595.4024705965995,1409.5439411099214,169.41839822201226
2018-05-01,658.1359895352957,1288.2642482740841,264.7700901848243
2018-05-02,685.6393503639346,1305.784272684551,124.7542082493227
2018-05-03,741.8104900291972,1403.3891768158844,204.38687363682044
2018-05-04,702.2848572940569,1383.1506930429873,215.78767535219964
2018-05-05,774.0158643998743,1346.7535681802528,194.01323679026413
2018-05-06,829.8378474189844,1344.8645409457022,128.23275318081494
2018-05-07,588.1614573050249,1487.7445598552201,193.0851483040361
2018-05-08,765.6130333939833,1235.1843204381937,126.64619406223665
2018-05-09,667.9640284802387,1219.5400684957033,172.41414552875912
2018-05-10,739.8729669019226,1325.5264115851326,241.57802201840602
2018-05-11,704.612939167281,1301.9846634141193,248.5466729653195
2018-05-12,560.3106603211575,1081.5924720390065,196.6063636329454
2018-05-13,661.4863691853625,1608.043365616742,266.3614616002262
2018-05-14,623.7123702470468,1325.8342405208316,248.94173483109387
2018-05-15,628.1835635083864,1317.2236314735262,213.63678188409312
2018-05-16,757.6787296080654,1406.913117865518,118.12721205987661
2018-05-17,866.9440713225721,1338.594574283243,133.41468027521154
2018-05-18,731.5124027542633,1330.1161680658056,125.47338929266998
2018-05-19,599.6413062956569,1268.1832904293806,305.0028837330569
2018-05-20,728.4530169828032,1404.8044096478006,151.3163450782032
2018-05-21,642.2052507040103,1193.6274932302238,225.59059250949306
2018-05-22,792.3595873357597,1499.6413741146414,209.9899902183975
2018-05-23,528.2735868139387,1344.3390323983679,257.8810181567726
2018-05-24,656.3777157253227,1462.6010984815089,198.3294676466882
2018-05-25,518.3984163756297,1345.9053418874284,125.9691668173745
2018-05-26,630.3758473632456,1391.7897902982224,255.77150858897406
2018-05-27,924.2324712399444,1103.863661584001,260.21166136189015
2018-05-28,778.7685094478488,1263.166149862936,234.48316941467382
2018-05-29,647.2754076043706,1330.3275264157317,185.32538358994168
2018-05-30,444.6164275703891,1161.9300780541246,2.5530640382128524
2018-05-31,734.2380014279237,1590.8331967733059,213.51037707139938
2018-06-01,582.7322269440139,1143.7283304752214,128.27776303175995
2018-06-02,828.9423579987056,1200.6450477882152,251.65179009647446
2018-06-03,902.1317702626259,1144.512940821035,175.03439015850242
2018-06-04,672.9161422659007,1269.7412953559328,196.54841627243047
2018-06-05,694.0896817707028,1296.9012887922304,228.74543879794032
2018-06-06,722.2954653965148,1271.4182415945857,234.69895735453417
2018-06-07,623.1979164502321,1407.379354761999,227.67245755726694
2018-06-08,751.5291388833505,1182.0119620130795,142.21083094588175
2018-06-09,553.0732419581565,1161.084841696637,165.61191908235236
2018-06-10,650.2101413557502,1299.4990900755843,316.0041677467668
2018-06-11,652.1195931091104,1231.5204742493509,266.1350328079958
2018-06-12,537.2282074711147,1202.5055971616591,246.2837120469551
2018-06-13,667.6019358604361,1245.2516267311698,219.49528669865416
2018-06-14,796.0984790995445,1298.903342094517,249.99113486221742
2018-06-15,647.1740074707989,1473.4605500026855,191.0336840452204
2018-06-16,657.3687911379337,1214.19826237681,275.84703512924284
2018-06-17,841.5218623997428,1261.290627696351,165.8462605771574
2018-06-18,604.9890877281276,1275.0590583716566,159.04066378583104
2018-06-19,543.9176825287211,1388.6266975292713,163.08731919990305
2018-06-20,744.9506950403767,1357.21844530171,145.39096761738483
2018-06-21,825.6331453670031,1350.238437750329,209.60209233216898
2018-06-22,694.504774533229,1345.8335556061452,278.3106172644409
2018-06-23,628.4940470559529,1326.3219097686065,219.54007265353098
2018-06-24,566.8991317817752,1310.959050586925,261.6095581032946
2018-06-25,689.8152253010377,1323.2734564182906,273.92057402433613
2018-06-26,667.1106385944831,1301.0759955386989,160.76368507900668
2018-06-27,624.1509590847228,1396.2499206835212,252.02816508524654
2018-06-28,562.4872382778722,1277.1628907109503,231.75927417859586
2018-06-29,704.4038129041796,1307.3998030165642,215.31476256979187
2018-06-30,763.4188246193605,1135.6101898293452,240.38488552989472
